SiteID,Longitude,Latitude
BTG068,117.49174,0.13453
BTG069,117.48424,0.12741
BTG070,117.4972987,0.139946938
BTG071,117.4715717,0.1468267
BTG073,117.4838733,0.1109517
BTG078,117.475845,0.1713983
BTG082,117.47044,0.12784
BTG084,117.48218,0.11949
BTG086,117.45505,0.06181
BTG088,117.48869,0.14499
BTG091,117.47458,0.19573
BTG094,117.454,0.14822
BTG095,117.48107,0.1154467
BTG102,117.4595317,0.1337567
BTG104,117.4684017,0.132315
BTG105,117.466145,0.114553333
BTG106,117.4660134,0.104702711
BTG107,117.46027,0.16795
BTG109,117.485835,0.10983
BTG111,117.4869967,0.1188133
BTG116,117.4854667,0.12326
BTG117,117.468515,0.123665
BTG120,117.4782733,0.1177417
BTG125,117.37001,0.06383
BTG126,117.48501,0.16730547
BTG127,117.42808,0.10767
BTG128,117.482215,0.260735
BTG129,117.48163,0.32003
BTG130,117.4923333,0.1382183
BTG131,117.47449,0.1350567
BTG132,117.48709,0.13232
BTG136,117.448009,0.142593
BTG138,117.46664,0.16539
BTG139,117.4804583,0.1697433
BTG140,117.4572817,0.1304767
BTG141,117.4918067,0.1302817
BTG142,117.50773,0.13562
BTG143,117.4789733,0.1278083
BTG145,117.45454,0.13968
BTG146,117.5,0.12629
BTG148,117.493801,0.117137
BTG157,117.433183,0.168347
BTG160,117.4715017,0.1500367
BTG161,117.4647167,0.1335067
BTG162,117.4822767,0.112195
BTG163,117.49026,0.1369031
BTG164,117.46654,0.16982
BTG165,117.46683,0.18283
BTG166,117.4923183,0.1226483
BTG167,117.48356,0.13742
BTG168,117.47936,0.1324475
BTG169,117.4953217,0.1335667
BTG170,117.4771017,0.1320533
BTG171,117.4916,0.127256666
BTG172,117.4885583,0.1212867
BTG173,117.48466,0.13384
BTG176,117.4599233,0.1371767
BTG177,117.4579333,0.1340233
BTG178,117.4494867,0.135715
BTG181,117.4885883,0.1287133
BTG183,117.4908617,0.1181733
BTG185,117.46366,0.11116
BTG186,117.4689083,0.1850467
BTG198,117.478008,0.288434
BTG201,117.45385,0.11123
BTG202,117.45081,0.11282
BTG203,117.45443,0.11686
BTG204,117.460262,0.108342
BTG205,117.459361,0.11854
BTG206,117.46415,0.12155
BTG207,117.464574,0.1245
BTG208,117.4678159,0.119894743
BTG211,117.458,0.0705396
BTG212,117.4153519,0.128209591
BTG213,117.459362,0.03401
BTG215,117.45972,0.083555
BTG216,117.472108,0.234672
BTG220,117.41771,0.13189
COH004,110.446,-2.33053
COH006,117.585,0.818083
COH007,112.51366,-2.5841
COH013,116.43521,-0.42591
COH014,115.45646,-2.23465
COH016,111.7243,-2.2627
COH017,111.508,-2.30709
COH018,111.75153,-2.71169
COH019,111.6676,-2.60667
COH024,117.897055,2.498928
COH025,116.21539,-1.89193
COH026,110.65993,-2.85572
COH029,114.96341,-3.82084
COH031,114.897202,-3.553022
COH035,111.55373,-2.124231
COH036,114.34792,-3.10576
COH037,110.72092,-2.10982
COH038,110.7613,-2.89534
COH039,110.688,-2.26025
COH041,115.34376,-3.74369
COH042,117.68402,0.78753
COH044,117.48001,0.18583
COH046,111.49686,-1.94826
COH047,117.78744,4.09121
COH048,112.41254,-2.5265
COH049,115.14675,-2.0939194
COH050,116.867618,-0.474164
COH052,117.708768,3.995479
COH056,116.39619,-2.0241
COH057,117.282,-0.78337
COH058,116.8701553,-1.193765401
COH060,117.595,3.29144
COH062,116.494071,1.155651
COH063,114.5985297,-3.3564561
COH064,111.07698,0.0908
COH065,116.44298,-2.43894
COH066,114.62911,-3.63953
COH067,114.85974,-3.43135
COH068,114.5926,-2.8148
COH069,113.9344722,-2.2647028
COH070,114.42622,-0.98194
COH071,110.17794,-0.37396
COH072,117.0808268,-0.506100655
COH073,116.815,-1.280604601
COH074,110.68217,-2.21287
COH075,118.26704,1.51549
COH076,116.6901684,-1.344172954
COH077,117.118,-0.50355
COH078,116.902676,1.0908
COH079,114.559333,-3.327698708
COH080,115.903015,-1.82519
COH081,117.60475,0.487944
COH082,112.89143,-1.51561
COH083,117.53837,0.50336
COH085,115.868,-1.94601
COH086,116.23479,-0.27263
COH087,114.43744,-1.46192
COH090,116.9043117,-1.25127
COH091,113.5399,-0.9147
COH092,116.8989817,-1.236783333
COH094,117.49801,0.53915
COH095,117.78744,4.09121
COH096,116.20935,-2.4428
COH097,115.12391,-2.2314
COH098,115.17625,-3.81576
COH109,114.602453,-3.323198
COH111,112.42038,-2.16038
COH112,114.86008,-3.6267
COH114,113.20778,-1.49979
COH115,109.75935,-0.2285
COH117,112.92799,-1.92298
COH118,112.751,-1.48135
COH128,117.79901,0.79052
COH129,117.90302,2.50675
COH132,115.64548,-0.00494
COH134,116.98588,3.56463
COH201,114.61788,-3.31871
COH236,117.145725,-0.490668055
COH301,116.868417,-1.223828
COH653,112.29159,-1.92665
COH656,108.84649,0.81498
COH657,110.07577,-0.30502
COH658,109.39332,1.31255
COH659,109.3612,-0.26853
COH670,113.56588,-0.92793
COH671,115.20627,-1.60947
COH672,109.47807,0.49801
COH673,109.48799,-0.49561
COH675,115.62493,-2.22196
COH677,110.56595,-1.42561
COH708,116.82544,-1.27612
COH709,116.69892,-0.96297
COH710,116.70686,-0.97465
COH720,117.15672,-0.45409
COH727,116.70105,-0.96239
COH802,110.79642,-2.03298
COH803,111.52794,-2.98017
COH808,111.6254,-1.92696
COH812,113.93449,-2.26482
COH824,115.26039,-2.41924
COH832,111.47472,-0.04019
COH843,117.11581,-0.48501
COH847,117.58223,3.33776
COH850,117.37701,2.8521799
COH852,116.882343,-1.253836
COH853,115.75914,-0.45841
COH854,117.98177,0.91595
COH855,117.20199,-0.43685
COH861,116.40443,-2.48608
COH863,115.61001,-3.67915
COH864,110.41574,-1.37655
COH865,110.00404,0.58284
COH900,114.59827,-3.52566
COH901,114.63453,-3.47019
COH904,114.188,-2.954823
COH905,110.82799,-2.4551
COH907,117.11512,-0.46389
COH911,112.298214,-2.641007
COH912,111.66981,-2.70579
COH914,112.38255,-2.16014
COH916,116.80456,-0.24129
COH917,110.48066,-0.96182
COH918,116.84001,-1.27844
COH919,118.011789,1.683215
COH922,113.10997,-1.47247
COH924,110.45054,0.23593
COH925,115.45028,-2.51486
COH926,110.25738,-0.99057
COH927,109.14825,1.28265
COH928,113.10997,-1.47247
COH929,113.10997,-1.47247
COH930,113.06089,-1.99138
COH931,111.18814,-2.30111
COH932,116.71364,-0.95039
COH933,117.15157,-0.50355
COH934,117.14552,-0.49095
COH935,117.66521,3.3634
COH936,116.88644,-1.22417
COH937,114.90638,-0.96378
COH938,116.81049,-1.27998
COH939,116.95858,-1.04131
EPQ001,116.998172,-1.143211
EPQ002,116.71394,-0.97219
EPQ003,117.32831,1.97681
EPQ004,117.370012,0.063826
EPQ005,117.539999,0.505725
EPQ006,118.239198,1.536831
EPQ007,117.73962,2.676544
EPQ008,116.622813,3.552006
EPQ009,116.622813,3.552006
EPQ025,116.88807,-1.24245
EPQ026,116.867623,-0.474161
EPQ027,116.856916,-1.27421
EPQ028,116.879017,1.063474
EPQ029,117.52897,0.54061
EPQ030,117.14771,-0.501627
EPQ031,117.147002,-0.475363
EPQ032,117.682006,4.114358
EPQ033,117.890146,4.132147
EPQ046,116.97061,-0.46741
EPQ047,116.73971,-0.95121
EPQ050,117.56858,3.36872
EPQ051,116.821532,-1.020216
EPQ052,116.605303,3.570192
EPQ053,117.151508,-0.454881
EPQ054,117.621109,3.269538
EPQ055,116.69115,-0.93765
EPQ056,116.83853,-1.27766
EPQ074,116.712613,-0.950017
EPQ075,116.698987,-0.959587
EPQ076,116.818787,-1.277053
EPQ077,117.152967,-0.503494
EPQ079,117.52906,3.37657
EPQ080,117.52905,3.37657
EPQ081,117.52905,3.37657
EPQ096,116.85707,1.09746
EPQ098,116.70188,-0.956475
EPQ099,116.63816,-0.99657
EPQ101,116.85636,-1.27453
EPQ102,116.69755,-0.95982
EPQ103,116.69834,-0.97399
EPQ104,116.72032,-0.96599
EPQ106,116.69817,-0.97325
EPQ108,116.89471,-0.98711
EPQ112,116.69652,-0.95849
KBA001,116.23048,-3.23599
KBA002,116.21236,-3.26379
KBA003,116.37743,-3.58235
KBA004,115.98398,-3.05314
KBA005,116.0358,-3.58712
KBA006,116.22146,-3.24552
KBA007,116.34248,-2.88868
KBA008,116.4134167,-2.5796389
KBA009,116.23323,-3.38531
KBA010,116.29848,-2.62374
KBA011,115.823,-2.92119
KBA012,116.22263,-3.5625
KBA013,116.276,-3.22369
KBA014,116.21614,-3.25386
KBA015,115.813,-4.36764
KBA016,116.052,-4.02106
KBA017,115.98407,-2.59497
KBA018,116.168,-2.51336
KBA019,116.24,-2.40867
KBA020,116.267,-2.90064
KBA021,116.07115,-3.96829
KBA022,116.07537,-2.79425
KBA023,115.97681,-3.11325
KBA024,116.054,-3.47743
KBA025,116.230845,-3.247805
KBA026,116.22516,-2.90508
KBA027,116.21084,-2.86376
KBA028,116.50981,-2.41315
KBA029,116.22507,-3.41106
KBA032,116.191,-3.98304
KBA034,116.24122,-3.2296
KBA035,116.165,-3.50196
KBA036,116.328,-2.37355
KBA041,116.486,-2.45296
KBA043,116.00995,-2.34103
KBA044,116.336,-2.72173
KBA045,116.409,-2.46711
KBA046,116.068,-3.98124
KBA047,116.21463,-3.44255
KBA048,116.417,-3.38875
KBA049,116.28,-3.62611
KBA050,116.07313,-3.79668
KBA052,116.1349,-3.13236
KBA053,116.234,-3.00378
KBA054,116.00409,-3.15336
KBA056,116.191,-2.6618
KBA058,116.369,-3.51794
KBA059,116.237,-2.46187
KBA062,116.0756,-2.66457
KBA064,116.39724,-3.61083
KBA065,116.24381,-2.69555
KBA066,115.846,-2.93581
KBA067,116.2703,-3.25701
KBA068,116.202,-4.0873
KBA069,116.508,-2.49334
KBA070,116.229,-2.35517
KBA077,116.38544,-3.61866
KBA078,116.21335,-3.24922
KBA079,116.22451,-3.24011
KBA082,116.18558,-2.74064
KBA083,116.204,-3.28559
KBA085,116.31798,-3.76123
KBA087,116.20599,-3.25942
KBA088,116.23392,-3.23126
KBA089,116.05196,-3.17875
KBA090,116.18481,-3.11918
KBA096,116.05955,-3.05974
KBA100,116.2376,-3.24317
KBA101,116.06432,-2.83059
KBA102,116.40746,-3.41372
KBA103,116.17214,-3.29441
KBA104,116.305,-3.89769
KBA105,116.00358,-2.359435
KBA109,116.2312,-3.24221
KBA111,116.23258,-3.23682
KBA112,116.23556,-3.22867
KBA113,116.21583,-3.24481
KBA117,116.0946,-3.44551
KBA118,116.145,-3.3684
KBA119,116.04577,-3.09459
KBA123,116.2231,-3.24983
KBA124,116.2266388,-3.2429538
KBA125,116.21412,-3.25189
KBA127,116.21812,-3.24787
KBA128,116.22743,-3.24042
KBA129,116.22661,-3.23788
KBA130,116.22277,-3.24304
KBA131,116.2391,-3.23567
KBA133,116.17002,-3.29925
KBA136,116.18491,-3.33149
KBA137,116.19654,-3.26876
KBA138,115.868,-2.99791
KBA140,115.97097,-3.09417
KBA142,116.0510833,-4.0490306
KBA143,116.09802,-4.05335
KBA149,115.995784,-3.407261
KBA150,116.24479,-3.22576
KBA192,116.15826,-2.5699
KBA201,116.0930032,-4.0674109
KBA250,116.4377944,-2.4522889
KBA251,116.1125,-2.44635
KBA261,116.10611,-3.07208
KBA266,116.28171,-2.97515
KBA297,116.28807,-2.3976
KBA298,116.20083,-2.48507
KBA302,116.19829,-2.35731
KBA314,116.07272,-2.49667
KBA317,116.30098,-3.911
KBA318,116.0743056,-3.46475
KBA320,115.9582,-2.51916
KBA325,116.28336,-2.4646
KBA339,116.37638,-3.45768
KBA340,116.01056,-3.03108
KBA342,116.36004,-2.40662
KBA343,115.98129,-2.39598
KBA349,116.20935,-3.25113
KBA351,116.12415,-3.2371
KBA353,116.18513,-2.63154
KBA354,116.33918,-2.7551
KBA355,116.19643,-2.81556
KBA356,116.20429,-3.47866
KBA361,116.15461,-3.09162
KBA362,116.05646,-2.92784
KBA363,116.06347,-3.97553
KBA364,116.33531,-2.35901
KBA417,115.97161,-2.60079
KBA418,116.33913,-2.37922
KBA419,116.06605,-3.86524
KBA420,115.95063,-2.44255
KBA421,116.17537,-2.80944
KBA422,115.90919,-3.00733
KBA423,116.26772,-3.90888
KBA424,116.06796,-3.95065
KBA426,116.14808,-4.02695
KBA427,116.50358,-2.53406
KBA429,116.18205,-3.28461
KGN001,115.271,-2.7823
KGN002,115.0900879,-2.6365275
KGN003,115.29581,-2.72189
KGN004,115.16236,-2.82338
KGN005,115.49146,-2.79614
KGN006,115.26267,-2.77638
KGN007,115.2794046,-2.7542751
KGN008,115.259377,-2.780567
KGN009,115.2085,-2.68684
KGN010,115.29505,-2.81342
KGN011,115.43049,-2.7931
KGN012,115.36689,-2.81891
KGN013,115.249138,-2.840393
KGN014,115.30972,-2.82782
KGN015,115.10687,-2.63532
KGN016,115.22473,-2.79075
KGN017,115.06737,-2.63311
KGN018,115.10939,-2.59717
KGN021,114.9895485,-2.654677795
KGN026,115.28975,-2.73222
KGN027,115.28845,-2.79193
KGN028,115.3279,-2.83295
KGN029,115.31024,-2.70585
KGN030,115.238,-2.73738
KGN035,115.26882,-2.80312
KGN036,115.27055,-2.82845
KGN041,115.3349,-2.73634
KGN042,115.26216,-2.78381
KGN043,115.26695,-2.77638
KGN044,115.26317,-2.77275
KGN045,115.2766,-2.78583
KGN046,115.2794,-2.77965
KGN047,115.25817,-2.78637
KGN048,115.24688,-2.78491
KGN049,115.25927,-2.80426
KGN050,115.27496,-2.76358
KGN052,115.067,-2.67003
KGN054,115.2676,-2.7852694
KGN055,115.266201,-2.7830418
KGN056,115.26284,-2.77666
KGN057,115.10556,-2.62286
KGN058,115.26118,-2.75746
KGN059,115.20916,-2.81644
KGN060,115.24144,-2.80424
KGN061,115.26698,-2.79087
KGN062,115.28131,-2.78978
KGN063,115.23003,-2.82893
KGN064,115.23537,-2.86774
KGN065,115.4519,-2.79776
KGN066,115.25124,-2.8339
KGN067,115.30051,-2.82024
KGN068,115.10962,-2.63249
KGN069,115.10318,-2.63248
KGN070,115.20734,-2.81278
KGN087,115.27174,-2.89252
KGN100,115.11827,-2.57842
KGN123,115.28403,-2.8592
KGN125,115.22517,-2.72025
KGN131,115.12608,-2.64844
KGN133,115.36408,-2.78631
KGN134,115.21343,-2.83638
KGN135,115.32111,-2.76091
KKN001,113.85714,-1.09275
KKN002,113.91853,-1.49109
KKN003,113.57006,-1.29721
KKN004,113.38514,-1.3519
KKN005,113.55043,-0.91834
KKN006,113.72689,-1.05278
KKN007,113.83936,-1.12726
KKN008,113.7909,-1.06326
KKN009,113.91729,-1.53247
KKN010,113.88101,-1.14761
KKN011,113.9183,-1.36263
KKN012,113.87703,-1.23466
KKN013,113.92272,-1.44525
KKN017,113.87167,-1.11023
KKN018,113.92687,-1.29216
KKN019,113.89503,-1.48871
KKN020,113.89946,-1.5609
KKN021,113.456,-1.23107
KKN023,113.54999,-1.16669
KKN024,113.39,-1.3212
KKN025,113.56667,-0.92666
KKN031,113.42481,-1.26651
KKN032,113.39166,-1.44783
KKN033,113.53769,-1.59127
KKN034,113.45117,-1.44031
KKN035,113.86759,-1.1058
KKN045,113.89876,-1.13701
KKN048,113.8682,-1.10066
KKN049,113.91146,-1.23144
KKN050,113.85581,-1.12836
KKN054,113.72985,-1.03185
KKN055,113.86901,-1.21539
KKN056,113.85776,-1.1172
KKN061,113.55055,-1.23675
KKN062,113.86222,-1.10438
KKN063,113.86795,-1.09298
KKN064,113.72094,-1.04563
KKN065,113.70392,-0.9962
KKN067,113.7361472,-1.3988472
KKN070,113.92571,-1.44789
KKN071,113.226,-1.61006
KKN072,113.52079,-1.21919
KKN073,113.92345,-1.46527
KKN074,113.6865083,-1.5396472
KKN075,113.6215,-1.58362
KKN076,113.563,-1.37354
KKN078,113.9121,-1.28923
KKN079,113.91325,-1.51106
KKN081,113.685,-1.09356
KKN151,113.82378,-1.06391
KKN155,113.86361,-1.12793
KKN158,113.73172,-1.06036
KKN178,113.55784,-1.31858
KKN191,113.716,-1.06439
KKN195,113.5704,-1.28592
KKN222,113.66486,-1.44352
KKN223,113.95617,-1.15172
KKN224,113.8994,-1.26314
KKN229,113.89941,-1.26314
KKN230,113.43885,-1.5089
KKN231,113.50302,-1.35731
KKN233,113.87262,-1.20237
KKP001,114.38741,-3.01106
KKP002,114.46597,-2.60799
KKP003,114.41666,-2.96693
KKP004,114.302,-2.94894
KKP005,114.46143,-3.10194
KKP006,114.49146,-2.89913
KKP007,114.4799,-1.72198
KKP008,114.36101,-1.35674
KKP009,114.01974,-0.93364
KKP010,114.42527,-3.06102
KKP011,114.362,-2.98946
KKP012,114.39764,-2.98643
KKP013,114.258,-2.90147
KKP014,114.39782,-3.02461
KKP015,114.40338,-2.97775
KKP016,114.31898,-3.12713
KKP017,114.439,-2.66699
KKP018,114.3938,-1.43795
KKP019,114.38139,-3.02986
KKP020,114.37648,-3.25369
KKP021,114.357,-3.08323
KKP022,114.309,-3.2857
KKP023,114.51949,-2.84323
KKP024,114.35568,-2.95868
KKP025,114.58799,-2.74872
KKP026,114.543,-2.54085
KKP027,114.35051,-1.36133
KKP028,114.51762,-2.87815
KKP029,114.27429,-2.71584
KKP030,114.51474,-2.62792
KKP031,114.19891,-3.18014
KKP032,114.232,-3.25536
KKP033,114.371727,-3.00180554
KKP034,114.41518,-2.25776
KKP035,114.437,-2.78827
KKP036,114.39572,-3.00468
KKP037,114.30597,-2.76815
KKP038,114.38998,-3.02462
KKP039,114.49975,-2.67223
KKP040,114.2432,-3.34927
KKP041,114.40317,-3.17163
KKP042,114.394,-3.23931
KKP043,114.4451,-2.70069
KKP044,114.416,-1.46433
KKP045,114.39246,-2.62703
KKP046,114.35784,-1.32345
KKP047,114.57125,-2.80348
KKP048,114.49548,-2.57343
KKP049,114.41074,-2.98337
KKP050,114.53387,-2.73131
KKP051,114.62061,-2.69663
KKP053,114.38401,-3.01718
KKP057,114.25623,-3.21255
KKP060,114.41021,-3.00969
KKP061,114.40229,-3.01647
KKP063,114.40495,-3.19807
KKP064,114.37668,-3.14775
KKP065,114.485,-1.66437
KKP066,114.49399,-1.92643
KKP067,114.349,-1.75182
KKP068,114.36156,-1.95368
KKP069,114.09864,-1.10296
KKP071,114.39147,-3.01136
KKP072,114.27969,-1.25825
KKP076,114.3087,-2.79317
KKP077,114.3715564,-3.0020854
KKP078,114.39242,-2.67363
